State,Make/Model,Thefts
Alabama,Chevrolet Pickup (Full Size),499
Alabama,Ford Pickup (Full Size),357
Alabama,Toyota Camry,205
Alabama,Nissan Altima,191
Alabama,Chevrolet Impala,191
Alabama,Honda Accord,180
Alabama,GMC Pickup (Full Size),152
Alabama,Dodge Pickup (Full Size),138
Alabama,Ford Mustang,122
Alabama,Ford Explorer,119
Alaska,Chevrolet Pickup (Full Size),147
Alaska,Ford Pickup (Full Size),95
Alaska,GMC Pickup (Full Size),58
Alaska,Honda Civic,56
Alaska,Honda Accord,46
Alaska,Dodge Pickup (Full Size),44
Alaska,Ford Explorer,31
Alaska,Jeep Cherokee/Grand Cherokee,28
Alaska,Ford Pickup (Small Size),22
Alaska,Chevrolet Pickup (Small Size),20
Arizona,Honda Accord,1072
Arizona,Honda Civic,1016
Arizona,Chevrolet Pickup (Full Size),850
Arizona,Ford Pickup (Full Size),772
Arizona,Dodge Pickup (Full Size),428
Arizona,Nissan Altima,269
Arizona,GMC Pickup (Full Size),246
Arizona,Toyota Camry,210
Arizona,Jeep Cherokee/Grand Cherokee,207
Arizona,Nissan Sentra,200
Arkansas,Chevrolet Pickup (Full Size),402
Arkansas,Ford Pickup (Full Size),252
Arkansas,GMC Pickup (Full Size),174
Arkansas,Dodge Pickup (Full Size),127
Arkansas,Honda Accord,122
Arkansas,Nissan Altima,89
Arkansas,Toyota Camry,82
Arkansas,Chevrolet Impala,76
Arkansas,Chevrolet Malibu,72
Arkansas,Chevrolet Tahoe,68
California,Honda Accord,28345
California,Honda Civic,28045
California,Chevrolet Pickup (Full Size),6048
California,Toyota Camry,5345
California,Ford Pickup (Full Size),4504
California,Acura Integra,4273
California,Toyota Corolla,3339
California,Nissan Sentra,2555
California,Nissan Altima,2281
California,Honda CR-V,2033
Colorado,Honda Civic,1380
Colorado,Honda Accord,1167
Colorado,Ford Pickup (Full Size),595
Colorado,Jeep Cherokee/Grand Cherokee,594
