State,Make/Model,Model Year,Thefts
Alabama,Chevrolet Pickup (Full Size),2005,499
Alabama,Ford Pickup (Full Size),2006,357
Alabama,Toyota Camry,2014,205
Alabama,Nissan Altima,2014,191
Alabama,Chevrolet Impala,2004,191
Alabama,Honda Accord,1998,180
Alabama,GMC Pickup (Full Size),1999,152
Alabama,Dodge Pickup (Full Size),1998,138
Alabama,Ford Mustang,2002,122
Alabama,Ford Explorer,2002,119
Alaska,Chevrolet Pickup (Full Size),2003,147
Alaska,Ford Pickup (Full Size),2004,95
Alaska,GMC Pickup (Full Size),1997,58
Alaska,Honda Civic,2000,56
Alaska,Honda Accord,1993,46
Alaska,Dodge Pickup (Full Size),1998,44
Alaska,Ford Explorer,1994,31
Alaska,Jeep Cherokee/Grand Cherokee,1999,28
Alaska,Ford Pickup (Small Size),2000,22
Alaska,Chevrolet Pickup (Small Size),1998,20
Arizona,Honda Accord,1997,"1,072"
Arizona,Honda Civic,1998,"1,016"
Arizona,Chevrolet Pickup (Full Size),2004,850
Arizona,Ford Pickup (Full Size),2006,772
Arizona,Dodge Pickup (Full Size),2001,428
Arizona,Nissan Altima,2015,269
Arizona,GMC Pickup (Full Size),2015,246
Arizona,Toyota Camry,1999,210
Arizona,Jeep Cherokee/Grand Cherokee,1994,207
Arizona,Nissan Sentra,2014,200
Arkansas,Chevrolet Pickup (Full Size),2004,402
Arkansas,Ford Pickup (Full Size),2008,252
Arkansas,GMC Pickup (Full Size),1997,174
Arkansas,Dodge Pickup (Full Size),1999,127
Arkansas,Honda Accord,1997,122
Arkansas,Nissan Altima,2015,89
Arkansas,Toyota Camry,2013,82
Arkansas,Chevrolet Impala,2012,76
Arkansas,Chevrolet Malibu,2006,72
Arkansas,Chevrolet Tahoe,2003,68
California,Honda Accord,1996,"28,345"
California,Honda Civic,1998,"28,045"
California,Chevrolet Pickup (Full Size),2006,"6,048"
California,Toyota Camry,1991,"5,345"
California,Ford Pickup (Full Size),2006,"4,504"
California,Acura Integra,1994,"4,273"
California,Toyota Corolla,2014,"3,339"
California,Nissan Sentra,1997,"2,555"
California,Nissan Altima,1997,"2,281"
California,Honda CR-V,1999,"2,033"
Colorado,Honda Civic,1997,"1,380"
Colorado,Honda Accord,1997,"1,167"
Colorado,Ford Pickup (Full Size),2005,595
Colorado,Jeep Cherokee/Grand Cherokee,1999,594
Colorado,Chevrolet Pickup (Full Size),2000,450
Colorado,Dodge Pickup (Full Size),2001,308
Colorado,Subaru Legacy,1996,215
Colorado,Acura Integra,1994,208
Colorado,Toyota Camry,1989,203
Colorado,Toyota Corolla,2014,170
Connecticut,Honda Accord,1997,534
Connecticut,Honda Civic,1998,532
